scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.417708,0.364092,0.282682,0.335066,0.299609,0.394920,64
benchmark_questions,evo_gen_0003,0.428646,0.359541,0.290495,0.332651,0.280859,0.378849,64
benchmark_questions,evo_gen_0004,0.430208,0.358970,0.290495,0.332651,0.279297,0.377296,64
benchmark_questions,evo_gen_0005,0.430990,0.358625,0.291276,0.332613,0.277734,0.376574,64
benchmark_questions,evo_gen_0006,0.435286,0.359176,0.293229,0.333062,0.271484,0.374560,64
benchmark_questions,evo_gen_0007,0.436849,0.358685,0.296354,0.334182,0.266797,0.373530,64
benchmark_questions,evo_gen_0008,0.438411,0.358518,0.297917,0.335381,0.263672,0.371957,64
benchmark_questions,evo_gen_0009,0.439974,0.358787,0.297917,0.335381,0.262109,0.371157,64
benchmark_questions,evo_gen_0010,0.441536,0.359491,0.297917,0.335381,0.260547,0.370778,64
