scenario,generation,n_contexts,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error
no_crossover,evo_gen_0001,64,0.47623,0.0084565795692532,0.2970053,0.0061620535006152,0.3115103,0.0085881499889867
no_crossover,evo_gen_0002,64,0.49329,0.0125179657577064,0.3008203,0.0091396930054205,0.2906379,0.0079514107406589
no_crossover,evo_gen_0003,64,0.51093,0.0141332796854327,0.3035025999999999,0.0135347478423336,0.2703127,0.0111581907339655
no_crossover,evo_gen_0004,64,0.51906,0.0163197021555065,0.3047916,0.0148971228929914,0.2608984,0.0131887979336
no_crossover,evo_gen_0005,64,0.52433,0.0179332706321704,0.3080207,0.0166631013723269,0.2523959,0.0143907322449013
no_crossover,evo_gen_0006,64,0.53079,0.0196832611742961,0.3100652,0.0204829250233239,0.2438934,0.0160459281106869
no_crossover,evo_gen_0007,64,0.53585,0.0214482001099289,0.3114453,0.0231081505344374,0.2374481,0.0156841501413227
no_crossover,evo_gen_0008,64,0.53804,0.0241755000371128,0.3148176,0.0226091331014702,0.231888,0.0186170653374203
no_crossover,evo_gen_0009,64,0.53795,0.0201076254192284,0.3147713333333333,0.0246498757299098,0.2320313333333333,0.0131934884317984
no_crossover,evo_gen_0010,64,0.53899,0.0219366534904736,0.3151187777777778,0.0265316811226587,0.2306424444444444,0.0122305454816119
no_crossover,initial,64,0.41368,0.0046764501506068,0.2968881,0.0034929895330186,0.3741797,0.0042769980399029
no_mutation,evo_gen_0001,64,0.45553,0.0083878856798228,0.2953645,0.0089332663710177,0.3316015,0.0034279547595225
no_mutation,evo_gen_0002,64,0.47627,0.0127863511644252,0.2810547,0.0129075364811071,0.3251692,0.0096806185385484
no_mutation,evo_gen_0003,64,0.48007,0.0101404767414774,0.2812631,0.0094271763352318,0.3211589,0.0095926760308755
no_mutation,evo_gen_0004,64,0.47864,0.0124446029752303,0.2799349,0.0121028536253966,0.3239193,0.0110794423049578
no_mutation,evo_gen_0005,64,0.47806,0.0128457342461309,0.280078,0.0136554480051817,0.3243489,0.0082981191771254
no_mutation,evo_gen_0006,64,0.4755,0.0150338310545841,0.2821355,0.0103956913858044,0.3248569,0.0113015022349538
no_mutation,evo_gen_0007,64,0.47267,0.015600062408707,0.2872135999999999,0.0114592991951709,0.3226039,0.0126171384715834
no_mutation,evo_gen_0008,64,0.4733,0.018309407586751,0.2866797,0.0111069270682759,0.3225132,0.0129725727663319
no_mutation,evo_gen_0009,64,0.47723,0.0176194247743159,0.2829165999999999,0.0105344944106914,0.3223437,0.0135064935086794
no_mutation,evo_gen_0010,64,0.47679,0.0159367595022743,0.2871875,0.0112205724774728,0.3185156,0.0142173811950177
no_mutation,initial,64,0.41046,0.0036877407431771,0.2972656999999999,0.0031538666937938,0.3747657,0.0030810832889315
CoCoEvo,evo_gen_0001,64,0.47916,0.002035071128978,0.2943721111111111,0.0053949289486619,0.3075233333333333,0.0062765559425532
CoCoEvo,evo_gen_0002,64,0.49856,0.0097985191965135,0.2910446666666667,0.0068308360396074,0.2914496666666666,0.0078824205355969
CoCoEvo,evo_gen_0003,64,0.51412,0.0147731723150445,0.2938512222222222,0.0124170582242511,0.2730903333333333,0.0114033394450923
CoCoEvo,evo_gen_0004,64,0.52584,0.0191759860502661,0.300651,0.0167067605327903,0.2545718888888889,0.0130333017827836
CoCoEvo,evo_gen_0005,64,0.5342,0.0218054540718091,0.3106626666666667,0.0162612748500847,0.2361977777777777,0.0134593785404246
CoCoEvo,evo_gen_0006,64,0.53852,0.0229252967907602,0.3242621111111111,0.0127880171884116,0.2182724444444444,0.0161068254019151
CoCoEvo,evo_gen_0007,64,0.53936,0.0238604881131966,0.3297742222222222,0.0141009928442803,0.2119213333333333,0.0179561397438313
CoCoEvo,evo_gen_0008,64,0.54009,0.0270003089426769,0.3318141111111111,0.0149922299329056,0.209158,0.0183331439406884
CoCoEvo,evo_gen_0009,64,0.54891,0.0210850264195023,0.3267073333333333,0.0130425544948066,0.2054398888888889,0.0165541133668073
CoCoEvo,evo_gen_0010,64,0.54856,0.0194257270312964,0.3283275555555555,0.013846056091096,0.2041667777777777,0.0193126721725514
CoCoEvo,initial,64,0.41199,0.0021729401804416,0.295848,0.0038677137626768,0.3732205555555555,0.0030139264303857
with_validation,evo_gen_0001,64,0.47287,0.0095518864529224,0.3012091428571429,0.004438363903834,0.3078311428571428,0.0079996720230388
with_validation,evo_gen_0002,64,0.4999,0.0094100746695078,0.3019158571428572,0.0078114069886837,0.2800965714285714,0.0091036670790244
with_validation,evo_gen_0003,64,0.51606,0.0149731759235672,0.3056364285714285,0.0074771216578115,0.2602121428571428,0.0097012398078556
with_validation,evo_gen_0004,64,0.53649,0.0188960991162071,0.3120535714285714,0.0128996143334745,0.2333707142857142,0.0075729313063983
with_validation,evo_gen_0005,64,0.54871,0.0230226249548031,0.3202752857142857,0.0130389545173208,0.2129278571428571,0.014231282554389
with_validation,evo_gen_0006,64,0.55862,0.025000593811043,0.3223214285714286,0.0135581948141722,0.2009672857142857,0.0232560021049354
with_validation,evo_gen_0007,64,0.55632,0.0247816445829992,0.3302825714285714,0.0132899804220716,0.1953125714285714,0.021790432807826
with_validation,evo_gen_0008,64,0.55245,0.0224444218300608,0.340681,0.0077812472650597,0.1887834285714285,0.016127142295492
with_validation,evo_gen_0009,64,0.54709,0.028780679235176,0.3452752857142857,0.0145589853551484,0.1895461428571428,0.0156968273697645
with_validation,evo_gen_0010,64,0.54956,0.0289341174674301,0.3442335714285714,0.0161637522856662,0.1881138571428571,0.0183880215849754
with_validation,initial,64,0.41173,0.0019711075159122,0.29656575,0.0037555599829738,0.373616375,0.0025855058602856
with_syntax_repair,evo_gen_0001,64,0.51333,0.0284290879880683,0.2591407,0.0152511210957679,0.2449219,0.0143490817007763
with_syntax_repair,evo_gen_0002,64,0.54451,0.0306022912833155,0.2647266,0.0180900198710043,0.208151,0.0171494169515403
with_syntax_repair,evo_gen_0003,64,0.56377,0.0305701043424963,0.2740753999999999,0.0170474046457387,0.1795442,0.0177679354256168
with_syntax_repair,evo_gen_0004,64,0.5827,0.0326453862496508,0.2901822,0.0181669374096033,0.1445052,0.0201628301077888
with_syntax_repair,evo_gen_0005,64,0.58431,0.0345790219320584,0.3051301999999999,0.0200531565916413,0.1279426,0.0223453398184051
with_syntax_repair,evo_gen_0006,64,0.58333,0.0354308904150037,0.3158073,0.0242787453641154,0.1182553,0.025206379933351
with_syntax_repair,evo_gen_0007,64,0.57908,0.0375224208120958,0.325625,0.0268011817069488,0.1126824,0.025760061875357
with_syntax_repair,evo_gen_0008,64,0.57529,0.039451110456699,0.3336588,0.027927578061837,0.1084375,0.027220760905562
with_syntax_repair,evo_gen_0009,64,0.57534,0.0413831183349227,0.3346615,0.0291516940550249,0.1073827,0.0277537838703522
with_syntax_repair,evo_gen_0010,64,0.57515,0.0430600254662669,0.3367579,0.029782160265837,0.1054818,0.0292537011743813
with_syntax_repair,initial,64,0.41602,0.0249111584957424,0.2568749999999999,0.013917183982401,0.3444925,0.0109936582855753
with_diversity,evo_gen_0001,64,0.4637109,0.0061607869888693,0.2522656,0.0056719812764148,0.2840234,0.0077363505636989
with_diversity,evo_gen_0002,64,0.4866666999999999,0.0096111053596,0.2452865,0.0093304808527987,0.2680468,0.0107443350531027
with_diversity,evo_gen_0003,64,0.4959767,0.0126680168407599,0.2490754,0.0141246568036969,0.254948,0.0096615293130366
with_diversity,evo_gen_0004,64,0.5133392222222222,0.0158184389540954,0.2564382222222222,0.0176716959201556,0.2302226666666667,0.0129725431199899
with_diversity,evo_gen_0005,64,0.526085,0.014751903944915,0.2610532222222222,0.0174826286980661,0.2128615555555555,0.0198317864053588
with_diversity,evo_gen_0006,64,0.5337673333333333,0.0160336368924832,0.267665,0.0181569770405208,0.1985676666666666,0.0215179538757754
with_diversity,evo_gen_0007,64,0.5380063333333333,0.0172629857209,0.2673754444444444,0.0175273028880024,0.194618,0.0234940880542318
with_diversity,evo_gen_0008,64,0.5430411111111111,0.0168270293162849,0.2650317777777777,0.0172580531548156,0.1919268888888889,0.0218645618721508
with_diversity,evo_gen_0009,64,0.545515,0.0177286849131569,0.26603,0.0197443304267326,0.1884547777777777,0.0208380687371561
with_diversity,evo_gen_0010,64,0.5490595555555555,0.0175019649190534,0.2648294444444444,0.0212058073538306,0.186111,0.021758856231429
with_diversity,initial,64,0.40651,0.0,0.252474,0.0,0.341016,0.0
CoCoEvo++,evo_gen_0001,64,0.5097917,0.0080737311772328,0.2644793,0.0059804023471112,0.2257292,0.0085822326905972
CoCoEvo++,evo_gen_0002,64,0.5417579,0.0115506279045292,0.2716275,0.0071660556212373,0.1866146,0.0096750167407262
CoCoEvo++,evo_gen_0003,64,0.5593619999999999,0.0088581750064245,0.2801822,0.0090188628970372,0.1604557,0.0091227190153667
CoCoEvo++,evo_gen_0004,64,0.575664,0.0132873261251297,0.2965886,0.0142964020508658,0.1277474999999999,0.0119077828260903
CoCoEvo++,evo_gen_0005,64,0.5790104,0.0129677041675763,0.3079427,0.0152252482778515,0.1130468,0.0115294861868746
CoCoEvo++,evo_gen_0006,64,0.5772267,0.0138352748601376,0.3182812,0.0170150153348283,0.1044921,0.0123982445840799
CoCoEvo++,evo_gen_0007,64,0.5795832,0.0157954702494101,0.3203384999999999,0.0195843289576697,0.1000782,0.0145717095832224
CoCoEvo++,evo_gen_0008,64,0.5765625,0.0186541596388937,0.3242188,0.0257498521411073,0.0992188,0.0142017962150332
CoCoEvo++,evo_gen_0009,64,0.5770833,0.019425846173762,0.3244011,0.025881442529993,0.0985157,0.0132452263941894
CoCoEvo++,evo_gen_0010,64,0.5754168,0.0192896383054622,0.3267708,0.0247774960926688,0.0978126,0.0127513772432627
CoCoEvo++,initial,64,0.40651,0.0,0.252474,0.0,0.341016,0.0
