scenario,generation,n_contexts,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,64,0.4646876,0.0045072148631080545,0.2646615,0.004938014586405713,0.2706512,0.0075986643972623495
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,64,0.4977996,0.014719059678601178,0.2576953,0.006460920145166803,0.2445052,0.009799025981074733
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,64,0.5169271,0.017985734059402642,0.2577213,0.011855445556555202,0.22535159999999999,0.009426195028276841
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,64,0.529414,0.01709461488955578,0.2548828,0.014652049820948462,0.21570309999999998,0.006923980670266367
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,64,0.5378516,0.01930075030320498,0.25355479999999997,0.014858307805549207,0.20859389999999997,0.0088234467119022
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,64,0.543802,0.021295336109110823,0.25572910000000004,0.017860323603202465,0.2004689,0.01194066348845174
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,64,0.5476823000000001,0.020801499540230802,0.2586458,0.018337702593291233,0.1936719,0.013747765527127991
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,64,0.5515884,0.021864721291513334,0.25911460000000003,0.01899521817721503,0.1892968,0.01615031813102557
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,64,0.5509548888888889,0.01988021215583758,0.2578992222222222,0.0217331403435961,0.1911458888888889,0.014925888972222431
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,64,0.5524885555555555,0.019762344775551756,0.25818877777777777,0.02411541012391131,0.18932277777777778,0.014352517521133513
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,64,0.392708,0.0,0.265495,0.0,0.341797,0.0
