scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.458203,0.386197,0.257031,0.327523,0.284766,0.415346,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.484766,0.397006,0.264453,0.331809,0.250781,0.397362,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.509115,0.398057,0.262760,0.333703,0.228125,0.389329,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.532161,0.394299,0.252214,0.313491,0.215625,0.378895,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.550391,0.398931,0.244922,0.318218,0.204688,0.368256,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.552474,0.407810,0.261589,0.337731,0.185937,0.364656,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.558073,0.407921,0.268490,0.348439,0.173438,0.359560,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.561979,0.406337,0.270833,0.349754,0.167187,0.355481,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.560026,0.405377,0.272786,0.350495,0.167187,0.355481,64
no_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.549089,0.405012,0.279036,0.353747,0.171875,0.354772,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.466927,0.417346,0.259635,0.354351,0.273438,0.431771,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.498307,0.439981,0.240755,0.360326,0.260937,0.436660,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.507682,0.443330,0.239193,0.360062,0.253125,0.434967,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.506120,0.443579,0.239193,0.359676,0.254688,0.435318,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.509635,0.445780,0.237240,0.360479,0.253125,0.435332,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.511589,0.446944,0.236849,0.360918,0.251563,0.435705,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.513542,0.448207,0.236458,0.361274,0.250000,0.436436,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.513542,0.448207,0.236458,0.361274,0.250000,0.436436,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.513542,0.448207,0.236458,0.361274,0.250000,0.436436,64
with_crossover_no_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.514323,0.449023,0.235677,0.361738,0.250000,0.436436,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0001,0.471615,0.384527,0.251042,0.309529,0.277344,0.398602,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0002,0.489063,0.386058,0.257031,0.322192,0.253906,0.389475,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0003,0.507943,0.392392,0.255339,0.321350,0.236719,0.380814,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0004,0.517839,0.392213,0.265755,0.331603,0.216406,0.378704,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0005,0.543620,0.406966,0.263411,0.334191,0.192969,0.375422,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0006,0.547266,0.407029,0.273047,0.346269,0.179688,0.375512,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0007,0.537630,0.416121,0.286589,0.361043,0.175781,0.372784,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0008,0.537240,0.418854,0.291667,0.366474,0.171094,0.376682,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0009,0.538151,0.424736,0.289193,0.369937,0.172656,0.379947,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_no_validation,evo_gen_0010,0.543359,0.428067,0.283984,0.371304,0.172656,0.379947,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0001,0.452083,0.387239,0.272135,0.333853,0.275781,0.400693,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0002,0.483854,0.387582,0.273177,0.330072,0.242969,0.389023,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0003,0.501693,0.398922,0.269401,0.335827,0.228906,0.386047,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0004,0.543229,0.407889,0.265365,0.336811,0.191406,0.369422,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0005,0.557552,0.412147,0.277604,0.352741,0.164844,0.358422,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0006,0.573828,0.418316,0.282422,0.363915,0.143750,0.350000,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0007,0.573177,0.422093,0.286198,0.370358,0.140625,0.350382,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0008,0.573698,0.424220,0.284896,0.372604,0.141406,0.350120,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0009,0.570312,0.423582,0.288281,0.372757,0.141406,0.350120,64
with_crossover_with_mutation_no_diversity_no_syntax_repairs_with_validation,evo_gen_0010,0.569531,0.423854,0.288281,0.373076,0.142187,0.349968,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,initial,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0001,0.490234,0.377692,0.279167,0.328376,0.230599,0.370242,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0002,0.537891,0.375016,0.276953,0.315697,0.185156,0.353181,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0003,0.564844,0.376443,0.273438,0.312800,0.161719,0.343620,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0004,0.572656,0.387371,0.283594,0.332837,0.143750,0.328356,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0005,0.566797,0.387089,0.296484,0.347487,0.136719,0.324556,64
with_crossover_with_mutation_no_diversity_with_both_syntax_no_validation,evo_gen_0006,0.578385,0.396854,0.299740,0.360084,0.121875,0.313945,64
