scenario,generation,mean_correct,std_correct,mean_wrong_no_error,std_wrong_no_error,mean_error,std_error,n_contexts
benchmark_questions,evo_gen_0001,0.392708,0.371678,0.265495,0.334366,0.341797,0.411999,64
benchmark_questions,evo_gen_0002,0.413021,0.367978,0.287370,0.338811,0.299609,0.400904,64
benchmark_questions,evo_gen_0003,0.422396,0.364592,0.290495,0.338094,0.287109,0.389036,64
benchmark_questions,evo_gen_0004,0.426302,0.362635,0.292839,0.337271,0.280859,0.383430,64
benchmark_questions,evo_gen_0005,0.431771,0.361587,0.295182,0.336902,0.273047,0.378576,64
benchmark_questions,evo_gen_0006,0.439583,0.360252,0.298307,0.335871,0.262109,0.371478,64
benchmark_questions,evo_gen_0007,0.444271,0.359367,0.302995,0.337394,0.252734,0.366507,64
benchmark_questions,evo_gen_0008,0.445052,0.359765,0.302995,0.337394,0.251953,0.366242,64
benchmark_questions,evo_gen_0009,0.449349,0.361243,0.304948,0.338940,0.245703,0.366763,64
benchmark_questions,evo_gen_0010,0.450911,0.362559,0.304948,0.338940,0.244141,0.367173,64
