scenario,generation,mean_correct,mean_wrong_no_error,mean_error,n_contexts
gen10,initial,0.322526,0.295052,0.382422,64
gen10,evo_gen_0001,0.410547,0.284245,0.305208,64
gen10,evo_gen_0002,0.427083,0.291536,0.281380,64
gen10,evo_gen_0003,0.433984,0.300260,0.265755,64
gen10,evo_gen_0004,0.448047,0.314714,0.237240,64
gen10,evo_gen_0005,0.455469,0.318229,0.226302,64
gen10,evo_gen_0006,0.468099,0.319010,0.212891,64
gen10,evo_gen_0007,0.490625,0.329297,0.180078,64
gen10,evo_gen_0008,0.497396,0.341276,0.161328,64
gen10,evo_gen_0009,0.496615,0.347526,0.155859,64
gen10,evo_gen_0010,0.501693,0.343229,0.155078,64
gen15,initial,0.333073,0.293880,0.373047,64
gen15,evo_gen_0001,0.385417,0.304427,0.310156,64
gen15,evo_gen_0002,0.405729,0.308724,0.285547,64
gen15,evo_gen_0003,0.408333,0.317318,0.274349,64
gen15,evo_gen_0004,0.436458,0.316927,0.246615,64
gen15,evo_gen_0005,0.451562,0.302344,0.246094,64
gen15,evo_gen_0006,0.466667,0.315234,0.218099,64
gen15,evo_gen_0007,0.466927,0.326172,0.206901,64
gen15,evo_gen_0008,0.477214,0.330078,0.192708,64
gen15,evo_gen_0009,0.479818,0.333594,0.186589,64
gen15,evo_gen_0010,0.484766,0.329297,0.185938,64
gen15,evo_gen_0011,0.484375,0.327995,0.187630,64
gen15,evo_gen_0012,0.482292,0.330599,0.187109,64
gen15,evo_gen_0013,0.493620,0.325911,0.180469,64
gen15,evo_gen_0014,0.498958,0.317448,0.183594,64
gen15,evo_gen_0015,0.501302,0.318880,0.179818,64
gen20,initial,0.332292,0.292969,0.374740,64
gen20,evo_gen_0001,0.391927,0.296615,0.311458,64
gen20,evo_gen_0002,0.413021,0.293099,0.293880,64
gen20,evo_gen_0003,0.443099,0.290104,0.266797,64
gen20,evo_gen_0004,0.468490,0.285417,0.246094,64
gen20,evo_gen_0005,0.484245,0.294661,0.221094,64
gen20,evo_gen_0006,0.510026,0.288802,0.201172,64
gen20,evo_gen_0007,0.521484,0.276563,0.201953,64
gen20,evo_gen_0008,0.528385,0.273568,0.198047,64
gen20,evo_gen_0009,0.533333,0.267448,0.199219,64
gen20,evo_gen_0010,0.541667,0.270833,0.187500,64
gen20,evo_gen_0011,0.539844,0.269141,0.191016,64
gen20,evo_gen_0012,0.533984,0.276953,0.189063,64
gen20,evo_gen_0013,0.530599,0.284245,0.185156,64
gen20,evo_gen_0014,0.536849,0.281901,0.181250,64
gen20,evo_gen_0015,0.537109,0.287500,0.175391,64
gen20,evo_gen_0016,0.541146,0.285807,0.173047,64
gen20,evo_gen_0017,0.533203,0.288281,0.178516,64
gen20,evo_gen_0018,0.532813,0.303516,0.163672,64
gen20,evo_gen_0019,0.544141,0.295312,0.160547,64
gen20,evo_gen_0020,0.548698,0.291927,0.159375,64
gen5,initial,0.331901,0.289583,0.378516,64
gen5,evo_gen_0001,0.396354,0.292578,0.311068,64
gen5,evo_gen_0002,0.414974,0.300130,0.284896,64
gen5,evo_gen_0003,0.416797,0.320052,0.263151,64
gen5,evo_gen_0004,0.416667,0.317578,0.265755,64
gen5,evo_gen_0005,0.419271,0.336328,0.244401,64
