scenario,generation,mean_correct,mean_wrong_no_error,mean_error,n_contexts
run_1,initial,0.322526,0.295052,0.382422,64
run_1,evo_gen_0001,0.410547,0.284245,0.305208,64
run_1,evo_gen_0002,0.427083,0.291536,0.281380,64
run_1,evo_gen_0003,0.433984,0.300260,0.265755,64
run_1,evo_gen_0004,0.448047,0.314714,0.237240,64
run_1,evo_gen_0005,0.455469,0.318229,0.226302,64
run_1,evo_gen_0006,0.468099,0.319010,0.212891,64
run_1,evo_gen_0007,0.490625,0.329297,0.180078,64
run_1,evo_gen_0008,0.497396,0.341276,0.161328,64
run_1,evo_gen_0009,0.496615,0.347526,0.155859,64
run_1,evo_gen_0010,0.501693,0.343229,0.155078,64
run_2,initial,0.331120,0.293750,0.375130,64
run_2,evo_gen_0001,0.391016,0.303776,0.305208,64
run_2,evo_gen_0002,0.400651,0.312891,0.286458,64
run_2,evo_gen_0003,0.414193,0.300130,0.285677,64
run_2,evo_gen_0004,0.427083,0.306901,0.266016,64
run_2,evo_gen_0005,0.454167,0.304818,0.241016,64
run_2,evo_gen_0006,0.459245,0.292708,0.248047,64
run_2,evo_gen_0007,0.468490,0.292448,0.239063,64
run_2,evo_gen_0008,0.471484,0.297526,0.230990,64
run_2,evo_gen_0009,0.472266,0.304427,0.223307,64
run_2,evo_gen_0010,0.480339,0.299609,0.220052,64
run_3,initial,0.328385,0.292578,0.379036,64
run_3,evo_gen_0001,0.382943,0.313411,0.303646,64
run_3,evo_gen_0002,0.410286,0.302865,0.286849,64
run_3,evo_gen_0003,0.412370,0.307943,0.279687,64
run_3,evo_gen_0004,0.427865,0.313151,0.258984,64
run_3,evo_gen_0005,0.461328,0.313672,0.225000,64
run_3,evo_gen_0006,0.459115,0.326042,0.214844,64
run_3,evo_gen_0007,0.448568,0.334635,0.216797,64
run_3,evo_gen_0008,0.447656,0.342187,0.210156,64
run_3,evo_gen_0009,0.450391,0.340234,0.209375,64
run_3,evo_gen_0010,0.462500,0.327344,0.210156,64
run_4,initial,0.329557,0.295703,0.374740,64
run_4,evo_gen_0001,0.391667,0.301823,0.306510,64
run_4,evo_gen_0002,0.414193,0.300651,0.285156,64
run_4,evo_gen_0003,0.432031,0.287891,0.280078,64
run_4,evo_gen_0004,0.450260,0.286068,0.263672,64
run_4,evo_gen_0005,0.476172,0.284896,0.238932,64
run_4,evo_gen_0006,0.498828,0.287500,0.213672,64
run_4,evo_gen_0007,0.500130,0.286458,0.213411,64
run_4,evo_gen_0008,0.496875,0.302474,0.200651,64
run_4,evo_gen_0009,0.494922,0.305469,0.199609,64
run_4,evo_gen_0010,0.507031,0.297005,0.195964,64
